Hour,Edge,flowrate
0.0,1,0.00011494740583546377
0.0,2,3.370377181205757e-06
0.0,3,3.4403230156963658e-06
0.0,4,1.2317419468552143e-06
0.0,5,3.882805309926489e-05
0.0,6,-2.602695627612551e-06
0.0,7,-8.55112929306098e-06
0.0,8,-2.968313868101517e-06
0.0,9,-6.159697954797755e-06
0.0,10,5.763196431351289e-06
0.0,11,-1.3776362705971004e-05
0.0,12,-7.3236027791154e-05
0.0,13,-0.0001766928184586148
0.0,14,0.0027718597774466533
0.0,15,0.0024088597262547974
0.0,16,0.0014088406165064782
0.0,17,0.0004871650538796743
0.0,18,0.0003087735019087951
0.0,19,0.00011184631119572602
0.0,20,-9.540327922163535e-05
0.0,21,-0.00028540958407029677
0.0,22,0.0006128595256203124
0.0,23,0.0005209129115639652
0.0,24,0.0003882479182486036
0.0,25,0.0002665126639054653
0.0,26,6.508956108168448e-05
0.0,27,-9.129141898491243e-05
0.0,28,0.0006699674768835012
0.0,29,0.0005175491367023342
0.0,30,0.00022898521224438588
0.0,31,2.9416148770894818e-05
0.0,32,-1.6319251307481492e-05
0.0,33,-9.142060705596647e-06
0.0,34,-0.00010867674361064352
0.0,35,-0.00018786852512243655
0.0,36,-1.379340556590933e-07
0.0,37,1.0680653558078483e-05
0.0,38,1.5221346341371563e-05
0.0,39,-9.959665058050829e-06
0.0,40,-4.839638076857911e-06
0.0,41,0.00011351052399784283
0.0,42,6.058218537655119e-06
0.0,43,5.00346828762261e-05
0.0,44,6.64682330412969e-05
0.0,45,-0.0001044335502161209
0.0,46,6.218846540067304e-06
0.0,47,-5.822528261269452e-05
0.0,48,-0.00013083976945060758
0.0,49,-2.4983265745320446e-06
0.0,50,-7.960440877839189e-06
0.0,51,-6.93344670264699e-05
0.0,52,-2.4700526638379813e-06
0.0,53,-0.00014238785306337022
0.0,54,0.00028050005114524623
0.0,55,7.027886471042599e-05
0.0,56,-2.4318988628631627e-05
0.0,57,-6.037345731045088e-05
0.0,58,0.0031084166684324397
1.0,1,8.708140984194466e-05
1.0,2,2.5533333420503995e-06
1.0,3,2.606310869910094e-06
1.0,4,9.331771066245117e-07
1.0,5,2.941520833345312e-05
1.0,6,-1.9717198866247914e-06
1.0,7,-6.478130547573404e-06
1.0,8,-2.2487223684503577e-06
1.0,9,-4.666443855315463e-06
1.0,10,4.366028489799664e-06
1.0,11,-1.0436660856797452e-05
1.0,12,-5.548186310482451e-05
1.0,13,-0.00013385822811997494
1.0,14,0.0020998936966906507
1.0,15,0.001824893650278564
1.0,16,0.0010673040821139628
1.0,17,0.0003690644490317499
1.0,18,0.00023391932019255584
1.0,19,8.473203125965794e-05
1.0,20,-7.227519979086393e-05
1.0,21,-0.0002162193456416916
1.0,22,0.0004642868891458528
1.0,23,0.0003946303602773713
1.0,24,0.00029412656671416656
1.0,25,0.0002019035317181723
1.0,26,4.93102501447796e-05
1.0,27,-6.916019961078712e-05
1.0,28,0.0005075516556241499
1.0,29,0.00039208322684147626
1.0,30,0.0001734736451380622
1.0,31,2.2284963744234613e-05
1.0,32,-1.2363071805980426e-05
1.0,33,-6.9257829573589825e-06
1.0,34,-8.233079917159734e-05
1.0,35,-0.00014232455933446393
1.0,36,-1.0386656376753234e-07
1.0,37,8.091390606909525e-06
1.0,38,1.1531313663768704e-05
1.0,39,-7.54520222745918e-06
1.0,40,-3.6663679933892646e-06
1.0,41,8.599284445165402e-05
1.0,42,4.58957320794464e-06
1.0,43,3.790501619239296e-05
1.0,44,5.03547004805594e-05
1.0,45,-7.911635099353113e-05
1.0,46,4.7112192508105e-06
1.0,47,-4.4110056315725706e-05
1.0,48,-9.912105932097661e-05
1.0,49,-1.8926823958998447e-06
1.0,50,-6.030643998232015e-06
1.0,51,-5.252612263490757e-05
1.0,52,-1.8712489498453922e-06
1.0,53,-0.00010786959383707579
1.0,54,0.0002125000463767753
1.0,55,5.3241563621932614e-05
1.0,56,-1.842348413004404e-05
1.0,57,-4.57374761083189e-05
1.0,58,0.0023548611124493183
